borough,intersection,Number of Bike Accidents,lat_lon_list
BRONX,BEDFORD PARK BL EAST & MARION AVENUE,1,"[40.8687, -73.88471]"
BRONX,BECK STREET & LONGWOOD AVENUE,1,"[40.81724, -73.89779]"
BRONX,BECK STREET & LEGGETT AVENUE,1,"[40.81508, -73.90012]"
BRONX,BECK STREET & INTERVALE AVENUE,1,"[40.81889, -73.89608]"
BRONX,BEAUMONT AVENUE & EAST 187 STREET,1,"[40.85415, -73.88446]"
BRONX,BEAUMONT AVENUE & EAST 183 STREET,1,"[40.852, -73.88555]"
BRONX,BEACH STREET & MINNIEFORD AVENUE,1,"[40.85221, -73.78818]"
BRONX,BEACH AVENUE & WESTCHESTER AVENUE,1,"[40.83187, -73.86636]"
BRONX,BEACH AVENUE & LACOMBE AVENUE,1,"[40.81491, -73.8624]"
BRONX,BEACH AVENUE & GLEASON AVENUE,1,"[40.82993, -73.86592]"
BRONX,BEACH AVENUE & EAST TREMONT AVENUE,1,"[40.84031, -73.86742]"
BRONX,BEACH AVENUE & BRUCKNER BOULEVARD,1,"[40.8256, -73.86492]"
BRONX,BAYCHESTER AVENUE & PITMAN AVENUE,1,"[40.89669, -73.8451]"
BRONX,BAYCHESTER AVENUE & NEREID AVENUE,1,"[40.89925, -73.84609]"
BRONX,BAYCHESTER AVENUE & EAST 233 STREET,1,"[40.88845, -73.84197]"
BRONX,BATHGATE AVENUE & EAST 188 STREET,1,"[40.85766, -73.88917]"
BRONX,BATHGATE AVENUE & EAST 187 STREET,1,"[40.8568, -73.88992]"
BRONX,BATHGATE AVENUE & EAST 181 STREET,1,"[40.85189, -73.89432]"
BRONX,BASSFORD AVENUE & EAST 184 STREET,1,"[40.85555, -73.892]"
BRONX,BASSFORD AVENUE & EAST 183 STREET,1,"[40.85497, -73.8925]"
BRONX,BARTOW AVENUE & COOP CITY BOULEVARD,1,"[40.8695, -73.82619]"
BRONX,BARTHOLDI STREET & BRONXWOOD AVENUE,1,"[40.87367, -73.86131]"
BRONX,BARRETTO STREET & SOUTHERN BOULEVARD,1,"[40.81936, -73.89307]"
BRONX,BARRETTO STREET & LAFAYETTE AVENUE,1,"[40.81651, -73.88986]"
BRONX,ASTOR AVENUE & FENTON AVENUE,1,"[40.85963, -73.84454]"
BRONX,ASTOR AVENUE & BOUCK AVENUE,1,"[40.85981, -73.85026]"
BRONX,BEDFORD PARK BOULEVARD & VALENTINE AVENUE,1,"[40.87134, -73.88692]"
BRONX,ALLERTON AVENUE & CRUGER AVENUE,1,"[40.86545, -73.86634]"
BRONX,ALLERTON AVENUE & BARNES AVENUE,1,"[40.86551, -73.86352]"
BRONX,ALLERTON AVENUE & BARKER AVENUE,1,"[40.86539, -73.86913]"
BRONX,ALEXANDER AVENUE & EAST 140 STREET,1,"[40.81135, -73.9242]"
BRONX,ALDUS STREET & BRYANT AVENUE,1,"[40.82324, -73.88856]"
BRONX,ALCOTT PLACE & ASCH LOOP,1,"[40.87147, -73.83057]"
BRONX,ALBANY CRESCENT & KINGSBRIDGE TERRACE,1,"[40.87664, -73.90138]"
BRONX,ALBANY CRESCENT & HEATH AVENUE,1,"[40.87658, -73.90266]"
BRONX,ADLER PLACE & ASCH LOOP,1,"[40.87101, -73.82828]"
BRONX,ADEE AVENUE & RADCLIFF AVENUE,1,"[40.86959, -73.86042]"
BRONX,ADEE AVENUE & LACONIA AVENUE,1,"[40.8695, -73.85566]"
BRONX,ADEE AVENUE & GUNTHER AVENUE,1,"[40.87057, -73.83907]"
BRONX,ADEE AVENUE & BRONXWOOD AVENUE,1,"[40.8696, -73.86144]"
BRONX,ADEE AVENUE & BRONX PARK EAST,1,"[40.86967, -73.87054]"
BRONX,ADAMS STREET & VANNEST AVENUE,1,"[40.84054, -73.87058]"
BRONX,ADAMS PLACE & EAST 183 STREET,1,"[40.85298, -73.88891]"
BRONX,9 AVENUE & SAMPSON AVENUE,1,"[40.82324, -73.81072]"
BRONX,3 AVENUE & SAINT PAULS PLACE,1,"[40.83593, -73.9029]"
BRONX,3 AVENUE & EAST 179 STREET,1,"[40.84911, -73.89495]"
BRONX,3 AVENUE & EAST 178 STREET,1,"[40.84785, -73.89558]"
BRONX,3 AVENUE & EAST 170 STREET,1,"[40.83501, -73.90353]"
BRONX,3 AVENUE & EAST 169 STREET,1,"[40.83271, -73.90506]"
BRONX,3 AVENUE & EAST 156 STREET,1,"[40.82013, -73.91307]"
BRONX,3 AVENUE & EAST 155 STREET,1,"[40.81954, -73.91352]"
BRONX,3 AVENUE & EAST 141 STREET,1,"[40.81239, -73.92469]"
BRONX,3 AVENUE & EAST 140 STREET,1,"[40.81194, -73.92556]"
BRONX,ALLERTON AVENUE & BOSTON ROAD,1,"[40.86553, -73.86237]"
BRONX,ALLERTON AVENUE & SEYMOUR AVENUE,1,"[40.86526, -73.84625]"
BRONX,ARTHUR AVENUE & EAST FORDHAM ROAD,1,"[40.85843, -73.88512]"
BRONX,ALLERTON AVENUE & TIEMANN AVENUE,1,"[40.86511, -73.83793]"
BRONX,ARTHUR AVENUE & EAST 189 STREET,1,"[40.85737, -73.88602]"
BRONX,ARTHUR AVENUE & EAST 188 STREET,1,"[40.85643, -73.88682]"
BRONX,ARTHUR AVENUE & EAST 179 STREET,1,"[40.848, -73.89242]"
BRONX,ARTHUR AVENUE & EAST 176 STREET,1,"[40.84471, -73.89399]"
BRONX,ARNOW PLACE & BRUCKNER BOULEVARD,1,"[40.85027, -73.82766]"
BRONX,ARNOW AVENUE & WHITE PLAINS ROAD,1,"[40.86789, -73.86728]"
BRONX,ARNOW AVENUE & HOLLAND AVENUE,1,"[40.86786, -73.86532]"
BRONX,ARNOW AVENUE & BRONXWOOD AVENUE,1,"[40.86778, -73.8615]"
BRONX,ARNOW AVENUE & BRONX PARK EAST,1,"[40.86795, -73.8705]"
BRONX,ARNOW AVENUE & BARNES AVENUE,1,"[40.86782, -73.86344]"
BRONX,ARLINGTON AVENUE & WEST 235 STREET,1,"[40.88601, -73.91185]"
BRONX,ARLINGTON AVENUE & INDEPENDENCE AVENUE,1,"[40.9093, -73.90681]"
BRONX,ARCHER STREET & WHITE PLAINS ROAD,1,"[40.83787, -73.86356]"
BRONX,ARCHER STREET & TAYLOR AVENUE,1,"[40.83759, -73.86639]"
BRONX,ARCHER STREET & LELAND AVENUE,1,"[40.83777, -73.86453]"
BRONX,ANTIN PLACE & BRADY AVENUE,1,"[40.85234, -73.86392]"
BRONX,ANTHONY AVENUE & ECHO PLACE,1,"[40.8494, -73.90303]"
BRONX,ANTHONY AVENUE & EAST TREMONT AVENUE,1,"[40.84869, -73.90329]"
BRONX,ANTHONY AVENUE & EAST 181 STREET,1,"[40.85448, -73.90125]"
BRONX,ANTHONY AVENUE & EAST 173 STREET,1,"[40.84328, -73.90463]"
BRONX,ANDREWS AVENUE & WEST BURNSIDE AVENUE,1,"[40.85381, -73.91386]"
BRONX,ANDREWS AVENUE & WEST 183 STREET,1,"[40.86004, -73.90861]"
BRONX,ANDERSON AVENUE & WEST 166 STREET,1,"[40.83477, -73.92526]"
BRONX,ANDERSON AVENUE & WEST 162 STREET,1,"[40.83099, -73.92812]"
BRONX,ALLERTON AVENUE & WESTERVELT AVENUE,1,"[40.86515, -73.8398]"
BRONX,BEDFORD PARK BOULEVARD & JEROME AVENUE,1,"[40.87338, -73.88937]"
BRONX,BEDFORD PARK BOULEVARD & WEBSTER AVENUE,1,"[40.86726, -73.88362]"
BRONX,CARPENTER AVENUE & EAST 240 STREET,1,"[40.90319, -73.85406]"
BRONX,BRUCKNER BOULEVARD & EAST 156 STREET,1,"[40.81446, -73.89686]"
BRONX,BRUCKNER BOULEVARD & EAST 134 STREET,1,"[40.80267, -73.91562]"
BRONX,BRUCKNER BOULEVARD & COUNTRY CLUB ROAD,1,"[40.84299, -73.82625]"
BRONX,BRUCKNER BOULEVARD & COLGATE AVENUE,1,"[40.82311, -73.88076]"
BRONX,BRUCKNER BOULEVARD & BRYANT AVENUE,1,"[40.82193, -73.88844]"
BRONX,BROWN PLACE & EAST 136 STREET,1,"[40.80661, -73.92099]"
BRONX,BROWN PLACE & BRUCKNER BOULEVARD,1,"[40.8047, -73.92239]"
BRONX,BROOK AVENUE & EAST 167 STREET,1,"[40.83047, -73.90972]"
BRONX,BROOK AVENUE & EAST 164 STREET,1,"[40.82643, -73.91179]"
BRONX,BROOK AVENUE & EAST 146 STREET,1,"[40.81297, -73.91609]"
BRONX,BROOK AVENUE & EAST 143 STREET,1,"[40.811, -73.91723]"
BRONX,BROOK AVENUE & EAST 142 STREET,1,"[40.81035, -73.91761]"
BRONX,BROOK AVENUE & EAST 140 STREET,1,"[40.80892, -73.91844]"
BRONX,BROOK AVENUE & EAST 136 STREET,1,"[40.80626, -73.92017]"
BRONX,BRONXWOOD AVENUE & WARING AVENUE,1,"[40.86124, -73.86171]"
BRONX,BRONXWOOD AVENUE & EAST GUN HILL ROAD,1,"[40.8755, -73.86051]"
BRONX,BRONXWOOD AVENUE & EAST 230 STREET,1,"[40.8895, -73.85278]"
BRONX,BRONXWOOD AVENUE & EAST 228 STREET,1,"[40.88809, -73.85355]"
BRONX,BRONXWOOD AVENUE & EAST 220 STREET,1,"[40.88245, -73.85667]"
BRONX,BRONXWOOD AVENUE & BURKE AVENUE,1,"[40.87133, -73.86139]"
BRONX,BRONXDALE AVENUE & MORRIS PARK AVENUE,1,"[40.84666, -73.85944]"
BRONX,BRONXDALE AVENUE & MATTHEWS AVENUE,1,"[40.84924, -73.86279]"
BRONX,BRONXDALE AVENUE & CRUGER AVENUE,1,"[40.85095, -73.86681]"
BRONX,BRONX RIVER PARKWAY & EAST GUNHILL ROAD,1,"[40.87829, -73.87006]"
BRONX,BRONX RIVER AVENUE & WATSON AVENUE,1,"[40.8254, -73.88328]"
BRONX,BRONX RIVER AVENUE & EAST 172 STREET,1,"[40.83129, -73.88173]"
BRONX,BRUCKNER BOULEVARD & EAST 140 STREET,1,"[40.80556, -73.91047]"
BRONX,BRUCKNER BOULEVARD & FAILE STREET,1,"[40.82136, -73.88911]"
BRONX,BRONX PARK EAST & WHITE PLAINS ROAD,1,"[40.85207, -73.86861]"
BRONX,BRUCKNER BOULEVARD & JACKSON AVENUE,1,"[40.8045, -73.91296]"
BRONX,CARPENTER AVENUE & EAST 229 STREET,1,"[40.89155, -73.86179]"
BRONX,CAMPBELL DRIVE & STADIUM AVENUE,1,"[40.83792, -73.81921]"
BRONX,BUSSING AVENUE & WILDER AVENUE,1,"[40.89581, -73.84288]"
BRONX,BURNET PLACE & TIFFANY STREET,1,"[40.81435, -73.89128]"
BRONX,BURKE AVENUE & YATES AVENUE,1,"[40.87121, -73.85458]"
BRONX,BURKE AVENUE & WHITE PLAINS ROAD,1,"[40.87144, -73.86716]"
BRONX,BURKE AVENUE & PAULDING AVENUE,1,"[40.87129, -73.85849]"
BRONX,BURKE AVENUE & LURTING AVENUE,1,"[40.87125, -73.85661]"
BRONX,BURKE AVENUE & HERING AVENUE,1,"[40.87119, -73.85364]"
BRONX,BURKE AVENUE & CRUGER AVENUE,1,"[40.87142, -73.86615]"
BRONX,BUCHANAN PLACE & JEROME AVENUE,1,"[40.85771, -73.9043]"
BRONX,BRYANT AVENUE & WESTCHESTER AVENUE,1,"[40.82626, -73.88881]"
BRONX,BRYANT AVENUE & VIELE AVENUE,1,"[40.80697, -73.88356]"
BRONX,BRYANT AVENUE & FREEMAN STREET,1,"[40.82982, -73.88899]"
BRONX,BRYANT AVENUE & EAST TREMONT AVENUE,1,"[40.84067, -73.88151]"
BRONX,BRYANT AVENUE & EAST 178 STREET,1,"[40.84153, -73.88072]"
BRONX,BRUCKNER BOULEVARD & WHITTIER STREET,1,"[40.82242, -73.88587]"
BRONX,BRUCKNER BOULEVARD & SWINTON AVENUE,1,"[40.8311, -73.83118]"
BRONX,BRUCKNER BOULEVARD & STRATFORD AVENUE,1,"[40.82433, -73.87437]"
BRONX,BRUCKNER BOULEVARD & SAINT JOSEPHS WAY,1,"[40.82819, -73.83534]"
BRONX,BRUCKNER BOULEVARD & LONGWOOD AVENUE,1,"[40.81585, -73.89544]"
BRONX,BRUCKNER BOULEVARD & LONGFELLOW AVENUE,1,"[40.82256, -73.88755]"
BRONX,BRUCKNER BOULEVARD & LELAND AVENUE,1,"[40.82597, -73.86217]"
BRONX,BRUCKNER BOULEVARD & LAFAYETTE AVENUE,1,"[40.81614, -73.89487]"
BRONX,BRUCKNER BOULEVARD & JARVIS AVENUE,1,"[40.84299, -73.82625]"
BRONX,BRONX PARK SOUTH & CROTONA PARKWAY,1,"[40.84782, -73.88285]"
BRONX,BRONX PARK EAST & SOUTHERN BOULEVARD,1,"[40.86536, -73.87042]"
BRONX,BEDFORD PARK BOULEVARD EAST & DECATUR AVENUE,1,"[40.86801, -73.88424]"
BRONX,BOSTON ROAD & EASTCHESTER ROAD,1,"[40.87703, -73.84637]"
BRONX,BOSTON ROAD & EAST 178 STREET,1,"[40.84095, -73.87938]"
BRONX,BOSTON ROAD & EAST 168 STREET,1,"[40.8296, -73.90224]"
BRONX,BOSTON ROAD & EAST 167 STREET,1,"[40.82819, -73.90386]"
BRONX,BOSTON ROAD & DYRE AVENUE,1,"[40.88471, -73.8313]"
BRONX,BOSTON ROAD & CONNER STREET,1,"[40.88595, -73.8279]"
BRONX,BOSTON ROAD & CAULDWELL AVENUE,1,"[40.82687, -73.90538]"
BRONX,BOSTON ROAD & BURKE AVENUE,1,"[40.87123, -73.85603]"
BRONX,BOSTON ROAD & BRONXWOOD AVENUE,1,"[40.86615, -73.86154]"
BRONX,BOSTON ROAD & BRISTOW STREET,1,"[40.83404, -73.89527]"
BRONX,BOSCOBEL PLACE & UNIVERSITY AVENUE,1,"[40.84391, -73.92413]"
BRONX,BOSCOBEL PLACE & UNDERCLIFF AVENUE,1,"[40.84442, -73.92504]"
BRONX,BOLTON AVENUE & STORY AVENUE,1,"[40.82407, -73.85979]"
BRONX,BOLTON AVENUE & LACOMBE AVENUE,1,"[40.81553, -73.85779]"
BRONX,BOGART AVENUE & RHINELANDER AVENUE,1,"[40.84932, -73.85944]"
BRONX,BLONDELL AVENUE & EASTCHESTER ROAD,1,"[40.84543, -73.84491]"
BRONX,BLONDELL AVENUE & EAST TREMONT AVENUE,1,"[40.8406, -73.84124]"
BRONX,BIVONA STREET & BOSTON ROAD,1,"[40.88419, -73.83362]"
BRONX,BERGEN AVENUE & EAST 147 STREET,1,"[40.8147, -73.91859]"
BRONX,BENEDICT AVENUE & METROPOLITAN AVENUE,1,"[40.83399, -73.8609]"
BRONX,BELMONT AVENUE & EAST 189 STREET,1,"[40.85669, -73.88464]"
BRONX,BELMONT AVENUE & EAST 183 STREET,1,"[40.85249, -73.88723]"
BRONX,BELMONT AVENUE & CRESCENT AVENUE,1,"[40.85404, -73.88645]"
BRONX,BELL AVENUE & PRATT AVENUE,1,"[40.89055, -73.83415]"
BRONX,BEDFORD PARK BOULEVARD EAST & WEBSTER AVENUE,1,"[40.86726, -73.88362]"
BRONX,BEDFORD PARK BOULEVARD EAST & GRAND CONCOURSE,1,"[40.87211, -73.88785]"
BRONX,BOSTON ROAD & EAST 213 STREET,1,"[40.87499, -73.85143]"
BRONX,BOSTON ROAD & HOME STREET,1,"[40.82853, -73.90346]"
BRONX,BRONX PARK EAST & REISS PLACE,1,"[40.8582, -73.87098]"
BRONX,BOSTON ROAD & MACE AVENUE,1,"[40.86318, -73.86556]"
BRONX,BRONX BOULEVARD & MAGENTA STREET,1,"[40.87534, -73.87031]"
BRONX,BRONX BOULEVARD & EAST 229 STREET,1,"[40.89182, -73.86266]"
BRONX,BRONX AND PELHAM PARKWAY & EAST FORDHAM ROAD,1,"[40.85573, -73.87515]"
BRONX,BROADWAY & WEST 254 STREET,1,"[40.90104, -73.89688]"
BRONX,BROADWAY & WEST 242 STREET,1,"[40.88946, -73.89827]"
BRONX,BROADWAY & WEST 239 STREET,1,"[40.88588, -73.90024]"
BRONX,BROADWAY & WEST 232 STREET,1,"[40.88014, -73.90395]"
BRONX,BROADWAY & KIMBERLY PLACE,1,"[40.87771, -73.90566]"
BRONX,BROADWAY & HENRY HUDSON PARKWAY,1,"[40.90028, -73.89703]"
BRONX,BRITTON STREET & OLINVILLE AVENUE,1,"[40.86659, -73.86833]"
BRONX,BRIGGS AVENUE & EAST KINGSBRIDGE ROAD,1,"[40.86301, -73.89418]"
BRONX,BRIGGS AVENUE & EAST 198 STREET,1,"[40.86906, -73.88913]"
BRONX,BRIGGS AVENUE & EAST 196 STREET,1,"[40.86703, -73.89111]"
BRONX,BRANDT PLACE & UNIVERSITY AVENUE,1,"[40.84833, -73.91842]"
BRONX,BRADY AVENUE & WHITE PLAINS ROAD,1,"[40.85241, -73.86777]"
BRONX,BRADY AVENUE & BRONX PARK EAST,1,"[40.85242, -73.86872]"
BRONX,BRADFORD AVENUE & WATERBURY AVENUE,1,"[40.83744, -73.83115]"
BRONX,BOYNTON AVENUE & WESTCHESTER AVENUE,1,"[40.82866, -73.87824]"
BRONX,BOYD AVENUE & EDENWALD AVENUE,1,"[40.89154, -73.84984]"
BRONX,BOSTON ROAD & WARING AVENUE,1,"[40.86134, -73.8668]"
BRONX,BOSTON ROAD & UNION AVENUE,1,"[40.832, -73.89902]"
BRONX,BOSTON ROAD & TIEMANN AVENUE,1,"[40.87844, -73.84411]"
BRONX,BOSTON ROAD & THWAITES PLACE,1,"[40.85852, -73.86784]"
BRONX,BOSTON ROAD & SEYMOUR AVENUE,1,"[40.87617, -73.84903]"
BRONX,BOSTON ROAD & PROSPECT AVENUE,1,"[40.83354, -73.89631]"
BRONX,EAST 174 STREET & WARD AVENUE,1,"[40.83418, -73.87857]"
BRONX,EAST 174 STREET & WEBSTER AVENUE,1,"[40.84418, -73.90292]"
BRONX,EAST 175 STREET & JEROME AVENUE,1,"[40.84768, -73.91237]"
BRONX,LYDIG AVENUE & WILLIAMSBRIDGE ROAD,1,"[40.85543, -73.85535]"
BRONX,LYDIG AVENUE & WALLACE AVENUE,1,"[40.85444, -73.86482]"
BRONX,LYDIG AVENUE & MATTHEWS AVENUE,1,"[40.85441, -73.86293]"
BRONX,LURTING AVENUE & PELHAM PARKWAY SOUTH,1,"[40.85684, -73.85915]"
BRONX,LORING PLACE SOUTH & WEST BURNSIDE AVENUE,1,"[40.85394, -73.91468]"
BRONX,LORING PLACE NORTH & WEST FORDHAM ROAD,1,"[40.86281, -73.90756]"
BRONX,LONGWOOD AVENUE & TIFFANY STREET,1,"[40.81321, -73.89098]"
BRONX,LONGFELLOW AVENUE & WESTCHESTER AVENUE,1,"[40.82674, -73.8879]"
BRONX,LONGFELLOW AVENUE & SPOFFORD AVENUE,1,"[40.81478, -73.88464]"
BRONX,LONGFELLOW AVENUE & SENECA AVENUE,1,"[40.81913, -73.88578]"
BRONX,LIGHT STREET & PROVOST AVENUE,1,"[40.88793, -73.82849]"
BRONX,LIEBIG AVENUE & WEST 261 STREET,1,"[40.90981, -73.9014]"
BRONX,LELAND AVENUE & WOOD AVENUE,1,"[40.83544, -73.86412]"
BRONX,LELAND AVENUE & STORY AVENUE,1,"[40.82383, -73.86162]"
BRONX,LAWTON AVENUE & MEAGHER AVENUE,1,"[40.81829, -73.81098]"
BRONX,LASALLE AVENUE & MAYFLOWER AVENUE,1,"[40.83826, -73.8328]"
BRONX,LAFAYETTE AVENUE & WHITTIER STREET,1,"[40.81721, -73.88432]"
BRONX,LAFAYETTE AVENUE & WHITEPLAINS ROAD,1,"[40.82201, -73.85826]"
BRONX,LAFAYETTE AVENUE & WHITE PLAINS ROAD,1,"[40.82201, -73.85827]"
BRONX,LAFAYETTE AVENUE & VINCENT AVENUE,1,"[40.8323, -73.81955]"
BRONX,LAFAYETTE AVENUE & TAYLOR AVENUE,1,"[40.82138, -73.86298]"
BRONX,LAFAYETTE AVENUE & SOUNDVIEW AVENUE,1,"[40.82101, -73.86575]"
BRONX,LAFAYETTE AVENUE & OLMSTEAD AVENUE,1,"[40.82285, -73.85209]"
BRONX,LAFAYETTE AVENUE & MANIDA STREET,1,"[40.81657, -73.88908]"
BRONX,LAFAYETTE AVENUE & LELAND AVENUE,1,"[40.82163, -73.86111]"
BRONX,LACOMBE AVENUE & TAYLOR AVENUE,1,"[40.81503, -73.86149]"
BRONX,LYDIG AVENUE & WHITE PLAINS ROAD,1,"[40.8545, -73.8677]"
BRONX,LYON AVENUE & PARKER STREET,1,"[40.83727, -73.84879]"
BRONX,KINGSBRIDGE AVENUE & WEST 234 STREET,1,"[40.88238, -73.90408]"
BRONX,MACE AVENUE & SEYMOUR AVENUE,1,"[40.86282, -73.84632]"
BRONX,MORRIS PARK AVENUE & TENBROECK AVENUE,1,"[40.85108, -73.84861]"
BRONX,MORRIS PARK AVENUE & PAULDING AVENUE,1,"[40.7244, -73.9818]"
BRONX,MORRIS AVENUE & PARK AVENUE,1,"[40.82206, -73.9204]"
BRONX,MORGAN AVENUE & WARING AVENUE,1,"[40.86094, -73.84544]"
BRONX,MONTGOMERY AVENUE & WEST 176 STREET,1,"[40.84962, -73.91937]"
BRONX,MILES AVENUE & SWINTON AVENUE,1,"[40.81759, -73.82057]"
BRONX,METROPOLITAN AVENUE & WOOD AVENUE,1,"[40.83552, -73.86112]"
BRONX,METROPOLITAN AVENUE & PURDY STREET,1,"[40.84062, -73.85409]"
BRONX,METROPOLITAN AVENUE & PINE DRIVE,1,"[40.83954, -73.85836]"
BRONX,MERRILL STREET & ST LAWRENCE AVENUE,1,"[40.83671, -73.86818]"
BRONX,MELVILLE STREET & VANNEST AVENUE,1,"[40.84162, -73.8694]"
BRONX,MCGRAW AVENUE & WHITEPLAINS ROAD,1,"[40.83442, -73.86296]"
BRONX,MCGRAW AVENUE & WHITE PLAINS ROAD,1,"[40.83442, -73.86296]"
BRONX,MCGRAW AVENUE & UNIONPORT ROAD,1,"[40.83572, -73.85565]"
BRONX,MCDONALD STREET & STILLWELL AVENUE,1,"[40.85503, -73.8414]"
BRONX,MCCLELLAN STREET & RIVER AVENUE,1,"[40.83416, -73.92222]"
BRONX,MAYFLOWER AVENUE & ZULETTE AVENUE,1,"[40.84208, -73.83472]"
BRONX,MAYFLOWER AVENUE & WESTCHESTER AVENUE,1,"[40.84528, -73.83453]"
BRONX,MAYFLOWER AVENUE & MIDDLETOWN ROAD,1,"[40.8435, -73.83475]"
BRONX,MATTHEWS AVENUE & VAN NEST AVENUE,1,"[40.84468, -73.86119]"
BRONX,MARAN PLACE & WHITE PLAINS ROAD,1,"[40.85366, -73.86773]"
BRONX,MANOR AVENUE & WATSON AVENUE,1,"[40.8264, -73.87581]"
BRONX,MAJOR DEEGAN EXPRESSWAY & WEST 230 STREET,1,"[40.8765, -73.90456]"
BRONX,MACOMBS ROAD & WEST MOUNT EDEN AVENUE,1,"[40.84493, -73.91742]"
BRONX,MACOMBS ROAD & NELSON AVENUE,1,"[40.84888, -73.91614]"
BRONX,KINGSBRIDGE TERRACE & WEST KINGSBRIDGE ROAD,1,"[40.87035, -73.9044]"
BRONX,KINGSBRIDGE AVENUE & WEST 231 STREET,1,"[40.87981, -73.90658]"
BRONX,MOSHOLU PARKWAY & VANCORTLANDT AVENUE EAST,1,"[40.87649, -73.88321]"
BRONX,INDEPENDENCE AVENUE & WEST 236 STREET,1,"[40.8871, -73.91331]"
BRONX,HUXLEY AVENUE & MOSHOLU AVENUE,1,"[40.90566, -73.89862]"
BRONX,HUNTS POINT AVENUE & SPOFFORD AVENUE,1,"[40.81459, -73.88589]"
BRONX,HUNTS POINT AVENUE & SOUTHERN BOULEVARD,1,"[40.82099, -73.89161]"
BRONX,HUNTINGTON AVENUE & LAFAYETTE AVENUE,1,"[40.82728, -73.83016]"
BRONX,HUNT AVENUE & VANNEST AVENUE,1,"[40.84396, -73.86468]"
BRONX,HUGH GRANT CIRCLE & METROPOLITAN AVENUE,1,"[40.83361, -73.86085]"
BRONX,HONE AVENUE & MACE AVENUE,1,"[40.86304, -73.8578]"
BRONX,HONE AVENUE & LYDIG AVENUE,1,"[40.85394, -73.85866]"
BRONX,HOMER AVENUE & OLMSTEAD AVENUE,1,"[40.82144, -73.85176]"
BRONX,HOME STREET & WEST FARMS ROAD,1,"[40.82882, -73.88821]"
BRONX,HOME STREET & PROSPECT AVENUE,1,"[40.82789, -73.8982]"
BRONX,HOLLYWOOD AVENUE & OTIS AVENUE,1,"[40.83386, -73.82463]"
BRONX,HOLLERS AVENUE & ROPES AVENUE,1,"[40.88815, -73.81787]"
BRONX,HOLLAND AVENUE & WARING AVENUE,1,"[40.86132, -73.86553]"
BRONX,HOLLAND AVENUE & MORRIS PARK AVENUE,1,"[40.8456, -73.86433]"
BRONX,HOLLAND AVENUE & LYDIG AVENUE,1,"[40.85446, -73.86576]"
BRONX,HOE AVENUE & WEST FARMS ROAD,1,"[40.82571, -73.8909]"
BRONX,HICKS STREET & WILSON AVENUE,1,"[40.8773, -73.85211]"
BRONX,HEWITT PLACE & MACY PLACE,1,"[40.8178, -73.90089]"
BRONX,HERMANY AVENUE & ZEREGA AVENUE,1,"[40.82555, -73.84325]"
BRONX,HENWOOD PLACE & WALTON AVENUE,1,"[40.84756, -73.91024]"
BRONX,HEATH AVENUE & WEST 193 STREET,1,"[40.87054, -73.90589]"
BRONX,HAVILAND AVENUE & VIRGINIA AVENUE,1,"[40.82925, -73.85994]"
BRONX,HAVILAND AVENUE & PUGSLEY AVENUE,1,"[40.82967, -73.85682]"
BRONX,HAVILAND AVENUE & OLMSTEAD AVENUE,1,"[40.83008, -73.85376]"
BRONX,INDEPENDENCE AVENUE & KAPPOCK STREET,1,"[40.8807, -73.9193]"
BRONX,INDUSTRIAL STREET & WATERS PLACE,1,"[40.84641, -73.84289]"
BRONX,JESUP AVENUE & WEST 170 STREET,1,"[40.84029, -73.92147]"
BRONX,INTERVALE AVENUE & JENNINGS STREET,1,"[40.83234, -73.89269]"
BRONX,JEROME AVENUE & WEST TREMONT AVENUE,1,"[40.8518, -73.90923]"
BRONX,JEROME AVENUE & WEST GUN HILL ROAD,1,"[40.88271, -73.88126]"
BRONX,JEROME AVENUE & WEST CLARKE PLACE,1,"[40.83813, -73.91931]"
BRONX,JEROME AVENUE & WEST BURNSIDE AVENUE,1,"[40.85382, -73.90733]"
BRONX,JEROME AVENUE & WEST 195 STREET,1,"[40.86856, -73.89656]"
BRONX,JEROME AVENUE & WEST 183 STREET,1,"[40.85837, -73.90391]"
BRONX,JEROME AVENUE & WEST 181 STREET,1,"[40.85579, -73.90557]"
BRONX,JEROME AVENUE & WEST 177 STREET,1,"[40.85002, -73.9107]"
BRONX,JEROME AVENUE & WEST 166 STREET,1,"[40.83448, -73.9244]"
BRONX,JEROME AVENUE & VANCORTLANDT AVENUE EAST,1,"[40.87703, -73.88774]"
BRONX,JEROME AVENUE & VAN CORTLANDT AVENUE EAST,1,"[40.87703, -73.88774]"
BRONX,JEROME AVENUE & PAUL AVENUE,1,"[40.87072, -73.89445]"
BRONX,JEROME AVENUE & NORTH STREET,1,"[40.85965, -73.90311]"
BRONX,JEROME AVENUE & MOSHOLU PARKWAY,1,"[40.87974, -73.88467]"
BRONX,JENNINGS STREET & WILKENS AVENUE,1,"[40.83234, -73.89269]"
BRONX,JENNINGS STREET & VYSE AVENUE,1,"[40.83179, -73.88895]"
BRONX,JENNINGS STREET & SOUTHERN BOULEVARD,1,"[40.83241, -73.89071]"
BRONX,JENNINGS STREET & LOUIS NINE BOULEVARD,1,"[40.83234, -73.89269]"
BRONX,JENNINGS STREET & LONGFELLOW AVENUE,1,"[40.8312, -73.88724]"
BRONX,JACOBUS PLACE & WEST 225 STREET,1,"[40.87504, -73.91228]"
